nhom_bds_lon,nhom_bds,loai_bds,quan_huyen,ten_duong,dia_chi,gia(ty),trieu/m2,dien_tich(m2),ngang (m),doc (m),huong,phap_ly,so_tang,so_phong_ngu,so_wc,tieu_de,nguon
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Cao Văn Lầu,Đường cao văn lầu,8.0,60.150375939849624,133.0,7.0,19.0,Đông,Đang cập nhật,3,6,4,Biệt thự mặt tiền Cao Văn Lầu – quy nhơn nam gần siêu thị go quy nhơn,https://alonhadat.com.vn/-biet-thu-mat-tien-cao-van-lau-quy-nhon-nam-gan-sieu-thi-go-quy-nhon--18452273.html
Nhà,Biệt thự/Nhà liền kề,"Biệt thự, nhà liền kề",Thành phố Quy Nhơn,Không rõ,Đường rộng thoáng....... << xem chi tiết >> 28m4 tầng4 phòng ngủ giá: 14,14.2,65.74074074074075,216.0,10.0,21.6,Tây,Đang cập nhật,4,4,4,Bán 2 căn biệt thự 4 tầng khu đại phú gia – đẳng cấp bậc nhất quy nhơn,https://alonhadat.com.vn/-ban-2-can-biet-thu-4-tang-khu-dai-phu-gia-dang-cap-bac-nhat-quy-nhon--18301395.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Lê Đức Thọ,Đường Lê Đức Thọ - để lại full nội thất - 3 phòng ngủ 2 toilet - tầng cao view thoáng - giá 2tỷ 900triệu * tiện ích nội khu....... << xem chi tiết >> 20m18 tầng3 phòng ngủchỗ để xe giá: 2,2.9,33.72093023255814,86.0,8.0,11.0,Tây,Đang cập nhật,18,3,2,Bán nhanh căn hộ 3pn phú tài residences giá tốt,https://alonhadat.com.vn/ban-nhanh-can-ho-3pn-phu-tai-residences-gia-tot-17227831.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Tỉnh lộ 639,Đường Tỉnh Lộ 639,2.3,11.979166666666666,192.0,8.0,25.0,Chưa xác định,Đang cập nhật,0,0,0,Bán lô góc tân thanh - cát hải,https://alonhadat.com.vn/ban-lo-goc-tan-thanh-cat-hai-16989697.html
Nhà,Căn hộ chung cư,Căn hộ chung cư,Thành phố Quy Nhơn,Nguyễn Tất Thành,Đường Nguyễn Tất Thành,2.3,35.38461538461539,65.0,0.0,0.0,Chưa xác định,Đang cập nhật,12,2,2,Kẹt vốn bán cắt lỗ căn hộ grand center quy nhơn 2pn - 65 m² giá 2xxx tỷ ..,https://alonhadat.com.vn/ket-von-ban-cat-lo-can-ho-grand-center-quy-nhon-2pn-65m2-gia-2xxx-ty--13076352.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Tuy Phước,Không rõ,Không rõ,1.7,17.894736842105264,95.0,5.0,18.9,Đông,Đang cập nhật,0,0,0,"Bán đất khu quy hoạch dân cư thôn quảng vân, xã phước thuận, huyện tuy phước, bình định.",https://alonhadat.com.vn/ban-dat-khu-quy-hoach-dan-cu-thon-quang-van-xa-phuoc-thuan-huyen-tuy-phuoc-binh-dinh--14213592.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Huyện Phù Cát,Không rõ,Không rõ,1.78,14.833333333333334,120.0,6.0,20.0,Bắc,Đang cập nhật,0,0,0,"Bán đất khu phương thái, cát tiến, phù cát, bình định",https://alonhadat.com.vn/ban-dat-khu-phuong-thai-cat-tien-phu-cat-binh-dinh-13873634.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thị xã An Nhơn,Không rõ,Đường nhựa 1 chiều rộng 8 m mỗi bên,2.3,25.555555555555557,90.0,5.0,18.0,Chưa xác định,Đang cập nhật,0,0,0,Chính chủ bán đất khu hưng định mới – thị xã an nhơn,https://alonhadat.com.vn/-chinh-chu-ban-dat-khu-hung-dinh-moi-thi-xa-an-nhon--18638347.html
Đất,Đất nền/Đất ở,Đất thổ cư/đất ở,Thành phố Quy Nhơn,Huỳnh Tịch Của,Đường Huỳnh Tịch Của,4.0,42.10526315789474,95.0,5.0,19.0,Bắc,Sổ hồng,1,1,1,"Bán nhà cấp 4, số 75 đường Huỳnh Tịch Của, phường. quy nhơn đông–diện tích: 95 m² giá bán: 4tỷ",https://alonhadat.com.vn/ban-nha-duong-huynh-tich-cua-view-song-ha-thanh-dt-95m2-gia-ban-3ty890tr-18302155.html
Đất,Đất nền/Đất ở,Đất nền/liền kề/đất dự án,Huyện Tuy Phước,Không rõ,Không rõ,1.79,17.047619047619047,105.0,5.0,21.0,Đông,Đang cập nhật,0,0,0,"Bán đất diện tích 105 m² khu phố diêu trì,thị trấn diêu trì,tuy phước,bình định",https://alonhadat.com.vn/-ban-dat-dt-105m2-khu-pho-dieu-tri-thi-tran-dieu-tri-tuy-phuoc-binh-dinh-15760264.html
